Nota,Resposta,Perfil
7,"Falta melhorar um pouco a funcionalidade. Consta uma pendência de prestação de contasde 2015, para ser corrigida até 10/07/2016, já foi pedida a exclusão dessa pendência há muito tempo, no entanto, não fomos atendidos, até hoje continua aparecendo como",Passives
8,DE FÁCIL ACESSO E SEMPRE NOS ATENDE PARA DUVIDAS,Passives
8,"pq nos auxilia bastante, porém seria muito melhor se pudesse ser feita as prestações de contas todas aqui",Passives
10,O sistema esta de sempre superando as expectativas da equipe escolar.,Promoters
10,Simplesmente porque facilitou o meu trabalho sem medidas,Promoters
9,,Promoters
10,confere com a prestação de contas,Promoters
8,O sistema fica muito fora do ar.,Passives
8,,Passives
9,Muito bom! Facilita e ganhamos tempo,Promoters
8,Acho que tem muitos caminhos para chegar até a conclusão final das prestações de conta.,Passives
9,Facilita nos cálculos e controle.,Promoters
9,sempre quando ligo sou atendida com prontidão e sempre consigo resolver o problema,Promoters
8,,Passives
10,O sempre pronto atendimento.,Promoters
10,Òtimo,Promoters
9,FACILITA BASTANTE O PROCESSO DE LICITAÇÃO.,Promoters
10,"com as novas atualizações, ficou mais fácil navegar e utilizar os serviços do sistema",Promoters
10,O programa é excelente e facilita de forma adequada a execução,Promoters
9,Atendimento imediato,Promoters
8,Falta a possibilidade de copiar e colar alguns documentos,Passives
9,,Promoters
10,Facilidade!,Promoters
10,,Promoters
8,ok,Passives
9,gostei muito do programa,Promoters
8,"agilidade, atendimento e rapidez",Passives
10,apoio nas dúvidas geradas,Promoters
8,Programa bem funcional,Passives
10,,Promoters
9,,Promoters
7,Pelo motivo de ainda termos que enviar o processo físico à Sed!,Passives
10,atenciosos,Promoters
10,Pela eficiência eagilidade no desenvolvimento do trabalho,Promoters
7,"Este Sistema ainda esta em progressão, volte e meia tem novos ajustes.",Passives
10,agilidade,Promoters
9,Praticidade e eficiência!,Promoters
5,,Detractors
8,Ainda existem fatores para melhorar.,Passives
9,,Promoters
7,"muitas mudanças no sistema sem nenhuma capacitação, temos que descobrir sozinhos.",Passives
10,apoio irrestrito,Promoters
10,ÓTIMO,Promoters
8,Pronto atendimento.,Passives
10,pelo atendido sempre preciso com pessoas que nos atende com muita educação e clareza nas questões a elas apresentadas. nosso muito obrigada pelo atendimento realizado em 2018.Maria Izabel/secretária da EE.Joaquim Vaz de Oliveira/Dourados,Promoters
10,praticidade,Promoters
10,otimo,Promoters
10,"Atualmente está melhor ainda. Inclusive o atendimento. 
 Sugestão: Seria melhor se a Ata Agricultura Familiar saísse padronizada do sistema para digitarmos.",Promoters
10,,Promoters
10,"Por facilitar muito o trabalho, e precisão nas informações.",Promoters
7,"o que não condiz com a realidade das escolas é o cardápio disponível, nós selecionamos o que é mais parecido com o que vamos produzir com a quantia de recurso disponível por semestre. não tem como fazer o cardápio com os ingredientes e quantidades.",Passives
10,Os atendentes são pessoas muito gentis,Promoters
9,SUPER ACESSÍVEL,Promoters
8,,Passives
9,facilita o trabalho,Promoters
8,,Passives
10,,Promoters
8,"Temos aqui na escola muita dificuldade em montar nosso cardápio por atendermos crianças em idade de creche e servirmos almoço mesmo, dai precisamos ficar ajustando para dar certo.",Passives
8,,Passives
9,Parabéns,Promoters
8,,Passives
9,o SISTEMA E BOM.,Promoters
9,,Promoters
9,,Promoters
9,"Tenho que fazer descobertas em relação ao sistema. No cardápio faço uma seleção de pratos, mas ir e voltar podia ter uma tela ao lado que fosse demonstrando a sequencia escolhida para não repetir os pratos.",Promoters
10,ótimo,Promoters
10,Pela praticidade de uso e manuseio do sistema.,Promoters
8,,Passives
10,apoio irretsrito,Promoters
7,,Passives
9,"Este programa ajudou muito, porém em algumas situações acho q há precipitação.
 Agora por exemplo, como montar o cardápio se ainda não temos o calendario 2019?",Promoters
8,"Programa muito bom, porém algumas coisas devem ser ajustadas, como por exemplo a parte de copiar a refeição de um dia para outro deveria ficar fácil e os valores creio que devem ser ajustados, alguns cardápios são mais baratos que na realidade.",Passives
4,sistema não deixa visivel o mais necessário..,Detractors
0,,Detractors
10,todos são muito prestativos,Promoters
9,,Promoters
10,,Promoters
10,"pelo suporte, por saber ouvir a opinião do usuário final e o sistema que é bom e atende nossa necessidade hoje. Claro que sempre pode agregar mais e assim sermos mais produtivo. Parabéns a todos os desenvolvedores e suporte. Surpreenda-nos sempre.",Promoters
10,Atendimento excelente sempre que solicitado.,Promoters
9,Este é um programa que muito nos auxilia na elaboração e controle,Promoters
10,e excepcional,Promoters
9,,Promoters
9,O sistema é eficiente e facilita nosso trabalho.,Promoters
10,facilidade,Promoters
10,,Promoters
8,facilita o desenvolvimento do trabalhos na escola,Passives
9,praticidade,Promoters
0,,Detractors
9,aplicabilidade,Promoters
7,,Passives
10,praticidade.,Promoters
9,esta bom para trabalhar.,Promoters
10,praticidade,Promoters
10,pratico,Promoters
10,pratica,Promoters
9,fica mais pratico elaboração de cardapio,Promoters
9,"elaboração do cardápio, licitação, chamada pública e lançamento das notas fiscais auxilia na praticidade do funcionamento.",Promoters
9,otimo,Promoters
10,,Promoters
8,vou começar aq usar agora.,Passives
9,às vezes o sistema não aceita o cardápio que queremos inserir e por um motivo não justificado.,Promoters
9,Esse sistema agiliza de forma eficiente o trabalho do usuário.,Promoters
9,Sistema maravilhoso,Promoters
9,"Muito fácil de trabalhar com ele, facilita em muito nosso trabalho na escola. Para melhorar, precisa criar um sistema de pregão eletrônico para as escola.",Promoters
10,ok,Promoters
10,Sempre prontos e atenciosos para nos atender.,Promoters
10,atendimento muito bom,Promoters
10,"O Chefe escolar, auxilia muito o processo de aquisição da Merenda escolar.",Promoters
8,Muito Bom,Passives
9,bom,Promoters
9,,Promoters
8,"Facilidade custos ,contratos e lista de compras .",Passives
8,,Passives
9,Bom,Promoters
9,Facilita nosso trabalho dando mais rapidez e agilidade.,Promoters
10,excelente sistema,Promoters
8,FUNCIONAL,Passives
10,O sistema facilitou todo o processo de elaboração e execuçãoda merenda escolar reduzindo tempo e erros.,Promoters
8,"Faltam opção de relatórios;
 Não há como imprimir uma lista dos produtos a serem comprados, com a unidade, quantitativo e descrição conforme PROCON;",Passives
9,Facilita muito o trabalho,Promoters
8,voces ajudam bastante.,Passives
10,sempre sou muito bem atendida,Promoters
10,"POR AGILIZAR O SERVIÇO!
 MUITO PRÁTICO!
 MELHOR SERIA SE NÃO PRECISASSE MANDAR AQUELA QUANTIDADE ENORME DE PAPÉIS.",Promoters
5,fr,Detractors
9,muito bom,Promoters
10,apoioirestrito,Promoters
10,apoio,Promoters
10,Os atendentes são muito atenciosos e eficientes,Promoters
10,É um excelente programa!,Promoters
7,"muitas mudanças , sem capacitaçãoes",Passives
10,,Promoters
8,,Passives
10,Muito prático...,Promoters
8,,Passives
10,"Em virtude da facilidade de lidar com o sistema e também do pessoal competente que nos atende ,.com respeito e muita dedicação",Promoters
10,"Porque é fácil, prático,flexível e deixa tudo organizado.",Promoters
8,o sistema é bom.,Passives
5,problema menu,Detractors
8,Funcionalidade Boa.,Passives
10,otimo,Promoters
9,praticidade,Promoters
9,"O que a empresa tem de melhor são os atendentes.
 O atendimento e esclarecimentos prestados são objetivos e claros.
 Os atendentes conseguem resolver nossos problemas e nos auxiliam quanto ao uso do programa.",Promoters
8,,Passives
9,,Promoters
10,...,Promoters
9,"Excelente, pois facilita o processo de aquisição de merenda.",Promoters
8,,Passives
7,d,Passives
8,facilita o nosso trabalho,Passives
9,bom,Promoters
8,poderia tem um no sistema uma ajuda para tirar duvidas.,Passives
9,,Promoters
10,Praticidade e bom atendimento aos usuários.,Promoters
9,Ficaria bem melhor se fosse disponibilizado também todos os anexos da prestação de contas. Facilitaria nosso trabalho. Precisamos ficar muito tempo fazendo contas.,Promoters
10,atendimento e soluções dos problemas de forma clara pelos atendentes.,Promoters
8,otimo,Passives
7,,Passives
3,"Os meses no cardápio deveria ser disposto em abas, não sendo necessário toda vez que clicar em voltar ele retornar a janeiro. Esses clicks sucessivos cansam,podendo desencadear LER.",Detractors
10,muito bom,Promoters
9,O sistema é ótimo,Promoters
9,Boa ferramenta,Promoters
9,,Promoters
9,Pela praticidade na elaboração do cardápio.,Promoters
9,Atendimento ótimo!,Promoters
9,sempre fui bem atendida pelosuporte e o sistema em si funciona bem,Promoters
10,Facilidade em realizar contratos!!!,Promoters
10,Sistema maravilhoso!,Promoters
5,poderia ser mais prático,Detractors
6,2,Detractors
10,Agilizar a preparação do cardápio,Promoters
9,bbbb,Promoters
10,,Promoters
10,,Promoters
9,otimo atendimento,Promoters
10,agilidade no atendimento,Promoters
10,,Promoters
9,"Bem esse é o meu primeiro ano de contato com o sistema, mas até agora tem superado minhas espectativa e me auxiliado bastante no dia a dia.",Promoters
8,,Passives
8,Esperando algumas melhorias que estão serão feitas.,Passives
5,,Detractors
10,PRESTAÇÃO DO SERVIÇO.,Promoters
9,Nota 9,Promoters
10,Praticidade e agilidade que proporciona um melhor desenvolvimento na organização do trabalho.,Promoters
9,,Promoters
10,PRATICIDADE,Promoters
10,,Promoters
10,,Promoters
10,excelente ferramenta gerencial da merenda escolar que facilita ao diretor escolar o trabalho de gestão.,Promoters
9,Pelo motivo de ajudar em muito na preparação da licitação.,Promoters
9,Porque o sistema nesse tempo quefunciona tem nos ajudado bastante nos tramites para aquisição de merenda escolar . Mas com essa nova mudança aumento o grau de dificuldade para utiliza´- lo .,Promoters
9,"são muito pontuais quando temos qualquer dúvida, e se há problemas resolvem com urgência",Promoters
8,ok,Passives
9,Atendimento eficaz e gentil,Promoters
10,Atendimento muito bom,Promoters
10,o CHEF ESCOLAR TEM EXCELÊNCIA NO SUPORTE TÉCNICO.,Promoters
9,"Poderia disponibilizar Termos de Recebimento da Chamada Pública.
 Mas tudo no sistema é muito bom e o atendimento telefônico, quando precisamos, está sendo ótimo.",Promoters
8,,Passives
8,,Passives
8,Por clareza e pronto atendimento,Passives
8,,Passives
9,"Facilita o nosso trabalho, na compra certa e sem desperdício. não compramos além do que iremos precisar...",Promoters
10,porque somos bem atendidos,Promoters
9,,Promoters
8,Bom,Passives
8,ok,Passives
8,,Passives
9,Falta mapa comparativo na carta convite.,Promoters
8,,Passives
8,,Passives
9,,Promoters
9,pela competênciade resolver os problemas com muita dedicação,Promoters
8,,Passives
10,Agiliza nosso trabalho e apresenta sugestões!,Promoters
10,Muito prático e fácil de manusear. Nas dúvidas somos atendidos com muita precisão.,Promoters
2,MUITA BUROCRACIA DESNECESSÁRIA. TIRA A AUTONOMIA DA ESCOLA.,Detractors
10,,Promoters
9,"nos auxilia e muito no desenvolvimento do nosso trabalho, facilitando todo o processo",Promoters
10,facilita o trabalho da escola.,Promoters
8,auxilia o trabalho,Passives
9,,Promoters
8,informações um distrocidas no inicio de 2019,Passives
10,"Palavra chave: "" SOLUÇÃO.",Promoters
8,,Passives
10,Eficiente no suporte técnico.,Promoters
9,o programa funiciona perfeitamente.,Promoters
10,Bom Atendimento.,Promoters
4,,Detractors
8,,Passives
10,"atendimento, praticidade",Promoters
9,Muito bom o programa,Promoters
10,Ótimo,Promoters
8,,Passives
8,Nos ajuda muito,Passives
7,o cardápio ainda não corresponde as expectativas,Passives
2,Muita dificuldade em acessar o sistema... os subsistemas são muito complicados..deveria ser mais visivel,Detractors
9,,Promoters
9,"bom atendimento, sempre a disposição e com muita educação paraatender nossas dúvidas",Promoters
9,Torna muito mais fácil e ágil instruir os processos licitatórios.,Promoters
8,,Passives
10,O chefe escolar facilitou muito o processo de licitação da Merenda Escolar,Promoters
10,"Excelente sistema, prático",Promoters
10,...,Promoters
10,...,Promoters
8,,Passives
9,facilita os trabalhos,Promoters
6,"O sistema é bom, porém interage pouco com a escola.",Detractors
5,,Detractors
10,,Promoters
10,Ótimo!,Promoters
9,,Promoters
10,Atendimento atencioso e eficiente,Promoters
9,,Promoters
10,Funcionalidade e facilidade de trabalhar!,Promoters
10,É um ótimo sistema.,Promoters
10,Porque o sistema facilita o nosso trabalho.,Promoters
8,,Passives
10,Sempre um excelente atendimento....,Promoters
8,,Passives
9,o sistema atende minha necessidade,Promoters
10,programa de facil manuseio.,Promoters
10,Tem facilitado muito na rotina e na elaboração do cardápio escolar.,Promoters
10,PROGRAMA MUITO BOM,Promoters
0,nao,Detractors
9,Acredito que sempre precisamos melhorar,Promoters
9,,Promoters
10,Ficou mais ágil os trabalhos,Promoters
9,,Promoters
8,,Passives
8,"O atendimento da equipe técnica é excelente e eficiente, porém o sistema é ainda meio confuso. O que nos leva a constantes contatos para esclarecimento de dúvidas. Sugiro workshop para melhorar nosso acesso e diminuir nossas dúvidas.",Passives
1,,Detractors
10,As constantes atualizações que propiciam avançar e melhorar o serviço da merenda escolar nas escolas.,Promoters
9,.,Promoters
8,,Passives
10,,Promoters
8,Prontidão no atendimento e educação dos atendentes.,Passives
10,,Promoters
10,o programa sistema atende as necessidades da escola,Promoters
6,ATENDER AS SOLICITAÇÕES DAS REUNIÕES,Detractors
5,Acho que pode ter outros recursos para que nos ajudasse na analise da prestação de contas,Detractors
9,o programa e muito bom e sempre que daalgum problema vcs nos atendem e tentam solucionar.,Promoters
7,"Apresenta lentidão, sai do ar com certa frequência, a tela de acompanhamento de prestação de contas ainda é deficitária. O atendimento da equipe do sistema é excelente, sempre que precisamos de alguma informação, a resposta vem de forma rápida",Passives
10,Praticidade,Promoters
7,"O ano começou com muitos problemas no sistema, não abria os processos já digitalizados, ficamos o mês de janeiro muito tempo sem conseguir abrir.",Passives
10,"Sempre que tenho dúvidas e necessito de ajuda os atendentes prontamente solucionam o que peço, além de tudo, a educação e ética da equipe é fundamental e notável.",Promoters
10,facilitou a vida do gestor principalmente na preparação do edital de licitação e contratos já previamente elaborados pelo sistema.,Promoters
8,,Passives
8,,Passives
10,Muito funcional.,Promoters
9,Site exclarecedor e fácil de entender,Promoters
10,PRESTEZA E ATENDIMENTO AOS USUARIOS,Promoters
9,conforto e segurança,Promoters
10,"Pelo pronto atendimento dos atendentes que sempre nos auxiliam com muita paciências, responsabilidade e com tempo.
 O atendimento é de boa qualidade e são todos.",Promoters
9,,Promoters
8,rsr5s,Passives
8,,Passives
9,Poderia incluir os formulários e o preço referência.,Promoters
9,Facilidade de inserir e encontrar informações.,Promoters
9,.,Promoters
9,AGILIZA MUITO O SERVIÇO,Promoters
9,OTIMO,Promoters
9,muito bom,Promoters
8,,Passives
10,Presta um bom atendimento.,Promoters
10,Bom atendimento,Promoters
9,Pronto atendimento no esclarecimento das dúvidas.,Promoters
10,PRATICIDADE,Promoters
8,,Passives
9,,Promoters
10,"Prático e exato, não corre-se o risco de errar nos processos",Promoters
8,É um sistema muito prático e com ótimo atendimento dos técnicos da empresa quando necessitamos.,Passives
9,Facilita o trabalho.,Promoters
9,Ainda estou me aprimorando no sistema mas acho muito adequado as nossas necessidades. As informações contidas no sistema tem me auxiliado muito no dia a dia da escola,Promoters
9,"pela rapidez , agilidade e segurança de nosso trabalho.",Promoters
10,,Promoters
9,Agilizou o trabalho.,Promoters
10,"Mesmo que tenha dificuldade, o atendimento sempre resolve, e rápido.",Promoters
10,"Atendimento, educação e disposição.",Promoters
10,"Sistema fácil, intuitivo e muito produtivo! Facilita todo o processo de preparação desde a formulação do cardápio até a prestação de contas! Parabéns a empresa!",Promoters
10,"O programa é muito bom. Me identifiquei com ele.
 Sugestão: Teria como vocês montarem no programa o Termo de recebimento dos agricultores.",Promoters
8,,Passives
9,otimo,Promoters
9,,Promoters
10,,Promoters
9,SEMPRE QUE PRECISEI TIVE UM BOM SUPORTE!,Promoters
8,,Passives
9,"Ainda apresento dificuldades para compreender algumas coisas, mas considero este sistema bastante prático.",Promoters
10,"É um programa muito eficiente , e tem nos ajudado muito",Promoters
9,Praticidade de utilização do sistema,Promoters
10,PRATICIDADE,Promoters
9,praticidade,Promoters
9,facilidade,Promoters
10,ficou prático fazer o cardápio pois encontramos muitas sugestões.,Promoters
8,,Passives
7,As melhorias no sistema demoram muito para ser implementada.,Passives
8,,Passives
9,PRATICIDADE,Promoters
10,FÁCIL ACESSO,Promoters
9,Excelente!!!,Promoters
8,recomendaria sim,Passives
9,"Atendimento,gentileza e qualidade nas soluções",Promoters
5,,Detractors
7,a presteza da equipe na solução do problema.,Passives
9,,Promoters
10,Programa muito bom,Promoters
9,bom atendimento,Promoters
8,ok,Passives
8,,Passives
8,,Passives
8,O programa é muito bom.,Passives
10,,Promoters
10,,Promoters
10,pratico,Promoters
9,o sistema ainda nãoatende100% as necessidades que as escolas precisam.,Promoters
10,,Promoters
8,,Passives
9,facilitou muito meu serviço,Promoters
8,"Minha escola é uma creche, ainda tenho que fazer muitos ajustes no cardápio para oferecer para as crianças, seria ótimo se o cardápio tivesse mais opções.",Passives
10,excelente,Promoters
